,lang,AllTags,Lemmas,LAS
0,jpnJ_31250_hplt,97.82875556237532,98.38115697406782,94.77520331440847
1,ronL_hplt,91.15412888997795,85.95932369517276,39.83092379318794
2,ellG_2290_hplt,95.38980509745127,92.72863568215892,92.5599700149925
3,korH_2290_hplt,89.46978777409575,94.00338433335683,88.96213777057041
4,engL_760_hplt,95.66828723997767,97.34597911851438,90.23670997051087
5,deuL_hplt,84.60419444781185,93.15068493150685,77.42756697781549
6,nobL_hplt,95.76520056063539,96.17232863912434,92.56156977908296
7,hebH_hplt,94.74841231069858,95.48933398469305,83.61830320794658
8,alsL_hplt,64.51612903225806,77.15053763440861,24.731182795698924
9,turL_760_hplt,90.6269293371499,90.20598304989616,71.1567603973733
10,sweL_hplt,97.26161849143642,97.02605879177504,91.71124306816509
11,zhoH_3050_hplt,95.27139527139528,99.92507492507492,83.8078588078588
12,korH_31250_hplt,90.05499541704857,94.44757808644152,89.71303673411832
13,zhoH_760_hplt,94.25574425574426,99.93339993339994,80.45288045288045
14,nldL_hplt,92.38638421147927,87.03603114249502,70.05250769509324
15,rusC_0_hplt,92.32744518697929,97.45241506993494,90.06708175350943
16,ellG_760_hplt,94.12481259370314,92.59745127436283,91.73538230884559
17,korH_0_hplt,86.60720580977225,92.59324543467532,84.55897905943736
18,rusC_31250_hplt,94.72032361556703,98.58988828161655,93.7996931231692
19,rusC_30_hplt,92.38577714655271,97.44480655346885,90.23446911576359
20,bulC_hplt,97.8885779699822,97.33528364283897,94.48613584329686
21,hebH_0_hplt,90.49829018075232,94.23546653639472,80.93144439016446
22,vieL_300_hplt,90.23263770099213,99.80328429695518,64.13787204926446
23,indL_0_hplt,86.08370193943519,96.92072133378701,75.47635250085062
24,litL_hplt,73.42799188640974,74.61737045915545,33.035220357735575
25,pesA_2290_hplt,95.6698296937803,98.04002817718477,91.0454564289562
26,korH_30_hplt,86.91391102023549,92.91757738137207,84.74934781075936
27,indL_3050_hplt,89.22252466825451,97.4991493705342,81.83055461041171
28,ellG_31250_hplt,96.22376311844077,94.10607196401799,93.1784107946027
29,indL_31250_hplt,89.1119428376999,97.63525008506294,82.46002041510718
30,vieL_30_hplt,84.31406089633938,98.15258296270954,55.05473828258638
31,indL_hplt,84.15277305205852,92.82919360326642,48.01803334467506
32,pesA_31250_hplt,96.33282227655077,99.4654622301413,94.09936601334272
33,belC_hplt,95.68669125461024,93.86134900293806,91.78595986747516
34,zhoH_30_hplt,90.15984015984016,99.88344988344988,69.07259407259407
35,vieL_3050_hplt,91.68662333219295,99.86315429353404,67.93534040369484
36,engL_0_hplt,91.92635689806328,95.62445206025345,83.52594245636406
37,eusL_hplt,83.87626159021909,87.3799950767211,55.38278493476655
38,bosL_31250_hplt,96.55812036273701,97.10634789777411,91.7230008244023
39,bhrL_31250_hplt,96.79307502061005,97.12695795548227,91.62819455894477
40,porL_hplt,94.11042795693699,98.23203480035967,85.29490388587814
41,pesA_hplt,96.44055857125099,99.43645630464509,94.0910786060581
42,turL_30_hplt,87.34354829657069,87.51192681147218,65.10074647808273
43,hebH_300_hplt,94.57743038593063,96.05113173750203,86.32958801498127
44,ukrC_hplt,60.69001568217459,73.96759017250392,23.116686995411513
45,pesA_0_hplt,94.66290970869763,98.84805038743629,89.63245348692661
46,polL_hplt,97.19776297001428,98.19133745835316,95.63005711565921
47,turL_300_hplt,90.21159566705956,89.91412695740023,69.51787618566537
48,danL_31250_hplt,97.85493365259902,97.09667764142472,89.45425521301009
49,fraL_hplt,98.0329505741388,98.62206689965053,94.77783325012481
50,indL_30_hplt,86.28785301122831,96.94624021776114,75.79108540319837
51,estL_hplt,97.12099651467344,95.17416321227495,90.99795829982058
52,nnoL_hplt,95.06721026924474,94.62721511322812,80.49489363419853
53,engL_hplt,97.11086315453893,98.05929704311788,93.03419144018491
54,ellG_3050_hplt,95.70839580209895,92.94415292353823,92.43815592203897
55,hebH_2290_hplt,96.32795961569776,96.56407751180589,90.82397003745318
56,korH_hplt,89.9809631248678,94.29246280758655,89.97743777762109
57,ellG_0_hplt,83.49887556221888,87.44377811094452,77.01461769115441
58,slkL_hplt,86.41645728643216,91.59076633165829,82.82820351758794
59,engL_300_hplt,94.48075237108472,97.0072527297362,88.19638160516459
60,rusC_760_hplt,93.74896968006188,98.08772619485411,92.23614298938611
61,catL_hplt,97.5356483811441,99.35245764133535,94.55963764469048
62,hebH_760_hplt,95.473049991858,96.22211366226999,89.02458882918091
63,hyeA_hplt,81.50087260034904,86.81403917006011,32.51890634089587
64,turL_2290_hplt,91.04226300724028,90.79530785205141,72.83493292922489
65,hrvL_31250_hplt,96.7230008244023,97.22176422093982,91.7724649629019
66,zhoH_0_hplt,89.8934398934399,99.89177489177489,68.64801864801865
67,engL_3050_hplt,96.6087510958795,97.88395632422093,92.27305331951861
68,engL_30_hplt,92.09372758428309,95.68821232167052,83.99617438431498
69,hebH_31250_hplt,96.68620745806872,97.23986321446019,91.94756554307116
70,indL_760_hplt,88.8397414086424,97.15039128955428,81.57536577067029
71,zhoH_300_hplt,92.57409257409257,99.88344988344988,75.49117549117548
72,zhoH_2290_hplt,95.04662004662005,99.94172494172494,83.36663336663337
73,indL_300_hplt,88.9673358285131,97.18441646818647,80.82681184076218
74,slvL_hplt,89.04174200141497,91.89922175929566,65.59625815580536
75,engL_2290_hplt,96.42544034430541,97.78831593209533,92.15748784570017
76,pesA_300_hplt,95.64911117556872,99.09667260597523,91.53855716239174
77,pesA_760_hplt,96.07591265072722,99.17125927153691,92.82310529150955
78,rusC_300_hplt,93.09463726397748,97.8981473262405,91.23498903105542
79,pesA_30_hplt,94.7623585961132,98.84805038743629,89.76919570712303
80,korH_300_hplt,88.33815130790383,93.6825777339068,86.5543256010717
81,itaL_hplt,98.34885283670923,98.74244024191225,95.09455697417683
82,spaL_hplt,96.23288948565887,99.37898623699229,93.42061094326955
83,korH_760_hplt,89.10667700768525,93.87999717972221,87.82697595713178
84,rusC_hplt,94.71271509910093,98.55374782840259,93.89099532076237
85,vieL_hplt,80.91002394799864,99.15326719124188,19.697228874444065
86,finL_hplt,97.01471286188894,91.35263407688657,93.97247271001424
87,zhoH_31250_hplt,96.02897102897103,99.9084249084249,85.64768564768565
